# Rime user dictionary
#@/db_name	flypyzc
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	14676
#@/user_id	c792ea34-1dd4-48ec-97e0-503b03700865
a 	啊	c=14 d=1.00229 t=13717
sosv 	琐碎	c=1 d=1 t=10719
soxk 	索性	c=1 d=1 t=6853
soyi 	所以	c=10 d=1.7307 t=14676
soyz 	所有	c=6 d=1.77599 t=14676
sr 	算	c=7 d=0.927743 t=14676
srfa 	算法	c=9 d=3.04118 t=5476
sry 	酸	c=1 d=1 t=12399
ssb 	宋	c=2 d=1 t=13771
ssdc 	送到	c=1 d=1 t=12377
sudu 	速度	c=1 d=1 t=4611
sur 	俗	c=2 d=1.69073 t=13374
suz 	速	c=1 d=1 t=13021
svbm 	随便	c=2 d=1 t=10829
svui 	随时	c=3 d=1.00011 t=6988
svyi 	随意	c=4 d=1 t=13457
syui 	损失	c=1 d=0.918512 t=14676
t 	它	c=3 d=1 t=11097
ta 	她	c=8 d=0.50409 t=14676
tab 	它	c=5 d=1.00206 t=13610
tamf 	他们	c=1 d=1 t=6312
tar 	他	c=2 d=1.99501 t=3194
taz 	踏	c=1 d=1 t=3487
tcl 	讨论	c=1 d=1 t=8602
tcly 	讨论	c=1 d=1 t=10466
tcz 	逃	c=1 d=0.690734 t=14676
td 	太	c=15 d=0.66034 t=14676
tdda 	太大	c=1 d=1 t=5273
tddo 	太多	c=1 d=1 t=3219
tds 	台	c=3 d=2.85183 t=12515
tdtx 	态	c=1 d=0.955997 t=14676
tdyh 	太阳	c=1 d=1 t=14149
tebp 	特别	c=2 d=1 t=13423
tev 	特征	c=1 d=3.47471e-06 t=14676
tevg 	特征	c=5 d=1.96139 t=14676
texn 	特效	c=1 d=1 t=5219
tg 	疼	c=1 d=1 t=5038
tgai 	疼爱	c=1 d=1 t=7513
thd 	烫	c=1 d=1 t=10095
thu 	躺	c=1 d=1 t=7122
thve 	躺着	c=1 d=1 t=6197
ti 	体	c=2 d=0.918179 t=14676
tidc 	提到	c=1 d=1 t=13807
tidd 	替代	c=3 d=1.80678 t=14676
tidu 	梯度	c=8 d=1.27271 t=8139
tif 	提	c=3 d=1 t=9245
tigs 	提供	c=6 d=2.81737 t=14676
tihr 	替换	c=2 d=1.03005 t=13611
tiiu 	提出	c=2 d=1.96561 t=11701
tijn 	提交	c=2 d=0.256661 t=14676
tili 	体力	c=1 d=1 t=6193
tio 	题	c=1 d=0.053397 t=14676
tiq 	提前	c=1 d=1 t=10199
tiqm 	提前	c=3 d=1.00172 t=11987
tiqu 	提取	c=1 d=0.231078 t=14676
tiui 	提示	c=1 d=1 t=7694
tixi 	体系	c=1 d=0.970446 t=14676
tixk 	提醒	c=4 d=2.50569 t=5968
tixm 	体现	c=1 d=0.008271 t=14676
tiyj 	体验	c=1 d=1 t=8622
tj 	谈	c=1 d=1 t=6254
tjg 	弹	c=1 d=1 t=14509
tjig 	坦诚	c=1 d=1 t=8500
tk 	听	c=10 d=1.00684 t=14190
tkdo 	挺多	c=1 d=1 t=5640
tkf 	挺	c=5 d=1.25043 t=13197
tkhc 	挺好	c=6 d=1.00046 t=13471
tkie 	停车	c=1 d=1 t=8450
tkn 	婷	c=1 d=1 t=12756
tkr 	停	c=1 d=1 t=8440
tktk 	听听	c=1 d=1 t=3534
tkuo 	听说	c=2 d=1 t=12875
tkvi 	停止	c=1 d=1 t=13672
tm 	天	c=12 d=2.51809 t=14676
tmjb 	天津	c=2 d=0.0896602 t=14676
tmjx 	添加	c=2 d=0.174082 t=14676
tmq 	甜	c=2 d=1.89137 t=13243
tmqi 	天气	c=2 d=1 t=14094
tmtm 	天天	c=1 d=1 t=5634
tn 	调	c=1 d=1 t=6885
tnf 	挑	c=6 d=1.00008 t=10830
tnjm 	条件	c=2 d=1.00341 t=6523
tnvg 	调整	c=2 d=1.06393 t=8301
tnw 	条	c=1 d=1 t=4556
tnx 	挑选	c=1 d=1 t=7349
tnxr 	挑选	c=2 d=1 t=7348
tnz 	跳	c=1 d=1 t=8063
to 	托	c=1 d=1 t=3189
toba 	拖把	c=1 d=1 t=2843
tof 	拖	c=1 d=1 t=2857
tp 	贴	c=1 d=1 t=7728
tplu 	铁路	c=1 d=0.628135 t=14676
ts 	同	c=6 d=2.40426 t=14676
tsd 	彤	c=1 d=1 t=12771
tsgo 	通过	c=4 d=1.09565 t=14676
tsrd 	佟	c=1 d=1 t=6842
tss 	统	c=1 d=0.369723 t=14676
tsu 	同事	c=1 d=1 t=9605
tsui 	同时	c=1 d=0.414783 t=14676
tsxb 	通信	c=1 d=0.771052 t=14676
tsxt 	同学	c=4 d=1.52213 t=10340
tsz 	通	c=1 d=0.0397558 t=14676
tu 	图	c=2 d=1 t=12837
tucc 	吐槽	c=1 d=1 t=6208
tuiu 	突出	c=1 d=1 t=12055
tujk 	途径	c=1 d=0.0824965 t=14676
tupm 	图片	c=3 d=0.970767 t=14676
tuuu 	图书	c=1 d=1 t=3857
tv 	推	c=1 d=0.313486 t=14676
tz 	头	c=3 d=1.81873 t=11916
tzfa 	头发	c=2 d=1.03223 t=7313
u 	时	c=1 d=0.0668703 t=14676
u 	是	c=174 d=5.00889 t=14676
ua 	啥	c=29 d=3.02898 t=14506
uc 	少	c=6 d=0.440432 t=14676
ucdg 	稍等	c=1 d=0.0761538 t=14676
uchw 	烧	c=1 d=1 t=10143
ucw 	稍微	c=1 d=1 t=2644
udx 	筛选	c=2 d=1.06457 t=13551
udxr 	筛选	c=3 d=1.11707 t=12956
ue 	设	c=2 d=1.33622 t=12008
uedk 	设定	c=1 d=1 t=8254
uehv 	社会	c=5 d=3.57696 t=14676
uej 	涉及	c=2 d=1.07058 t=14676
ueji 	设计	c=2 d=1.01477 t=13589
uep 	社	c=1 d=1 t=2527
uevi 	设置	c=4 d=0.882497 t=14676
ueww 	设为	c=1 d=1 t=11804
uf 	深	c=1 d=1 t=4387
uff 	身份	c=1 d=1 t=4232
ufff 	身份	c=2 d=0.877987 t=14676
ufia 	审查	c=1 d=1 t=14676
ufji 	审计	c=1 d=0.396531 t=14676
ufme 	什么	c=1 d=1 t=2633
ufpi 	审批	c=1 d=0.0464212 t=14676
ufqk 	申请	c=10 d=1.6035 t=14676
ufti 	身体	c=2 d=1 t=13048
ufuh 	身上	c=1 d=1 t=9820
ufvz 	神州	c=1 d=1 t=10848
ug 	生	c=2 d=1 t=12797
uggc 	升高	c=1 d=1 t=5943
uggr 	升官	c=1 d=1 t=6928
ugho 	生活	c=2 d=1.00415 t=7016
ugig 	生成	c=2 d=1.91851 t=11628
ugij 	生产	c=1 d=0.790571 t=14676
ugo 	胜	c=2 d=1 t=14324
ugri 	生日	c=1 d=1 t=13393
ugu 	声	c=1 d=1 t=6945
ugxx 	剩下	c=1 d=1 t=6544
uh 	上	c=15 d=2.99066 t=14676
uhbj 	上班	c=5 d=1.79636 t=14631
uhci 	上次	c=1 d=1 t=6041
uhhd 	上海	c=5 d=1 t=12051
uhhu 	商户	c=1 d=1 t=12052
uhil 	上床	c=1 d=1 t=8359
uhir 	上传	c=2 d=0.00234851 t=14676
uhke 	上课	c=1 d=1 t=8513
uhll 	商量	c=2 d=1 t=13587
uhmm 	上面	c=1 d=0.140858 t=14676
uhqu 	上去	c=1 d=0.00134683 t=14676
uhvz 	上周	c=2 d=1 t=13029
uhw 	商	c=3 d=1.06826 t=14676
uhwu 	上午	c=1 d=1 t=4211
uhwu 	商务	c=1 d=0.985112 t=14676
uhxb 	伤心	c=1 d=1 t=3183
uhyi 	上衣	c=1 d=1 t=6350
ui 	事	c=6 d=0.416862 t=14676
uia 	十	c=2 d=1 t=10754
uib 	实	c=2 d=0.418952 t=14676
uie 	示	c=1 d=1 t=3821
uiff 	十分	c=1 d=0.055299 t=14676
uifl 	势	c=1 d=1 t=12454
uifu 	师傅	c=2 d=1.03388 t=12146
uifz 	是否	c=6 d=1.64948 t=14676
uihe 	适合	c=1 d=1 t=3556
uihr 	使唤	c=1 d=1 t=4172
uihx 	实话	c=2 d=1 t=6665
uihz 	时候	c=7 d=0.109849 t=14676
uij 	时间	c=9 d=2.74588 t=14676
uiji 	实际	c=3 d=0.933671 t=14676
uijm 	实践	c=1 d=1 t=4013
uike 	时刻	c=3 d=0.0216888 t=14676
uil 	师	c=1 d=1 t=3169
uimw 	师妹	c=1 d=1 t=8476
uin 	始	c=1 d=1 t=7612
uinm 	十年	c=1 d=1 t=7845
uio 	时	c=4 d=0.494109 t=14676
uiqk 	事情	c=3 d=2.69791 t=3218
uir 	使	c=1 d=1 t=3356
uirl 	食	c=4 d=1.06429 t=13985
uixb 	失信	c=2 d=1.36335 t=14676
uixl 	事项	c=1 d=0.0776922 t=14676
uixm 	实现	c=1 d=1 t=13167
uiyb 	识	c=1 d=1 t=3202
uiye 	事业	c=1 d=0.748264 t=14676
uiyg 	试	c=2 d=1.99501 t=3188
uiyj 	实验	c=1 d=0.514274 t=14676
uiyk 	适应	c=1 d=1 t=10485
uiys 	使用	c=4 d=1.94111 t=14676
ujdn 	删掉	c=1 d=1 t=7733
ujds 	山东	c=2 d=1.73712 t=5144
ujyi 	善意	c=1 d=1 t=5652
ukuz 	甩手	c=1 d=1 t=9045
ul 	双	c=2 d=1.9802 t=2888
ultv 	双腿	c=1 d=1 t=4168
uo 	说	c=41 d=0.864332 t=14676
uogo 	说过	c=1 d=1 t=9409
uohx 	说话	c=6 d=2.3513 t=6216
uomk 	说明	c=7 d=0.733447 t=14676
uoxx 	说下	c=1 d=1 t=2646
uu 	数	c=17 d=3.89447 t=14676
uucd 	蔬菜	c=2 d=1.73345 t=5146
uufu 	舒服	c=5 d=1 t=9299
uuiu 	输出	c=3 d=0.509464 t=14676
uuju 	数据	c=17 d=3.1493 t=14676
uujx 	暑假	c=1 d=1 t=14165
uull 	数量	c=1 d=0.276651 t=14676
uupm 	薯片	c=1 d=1 t=12973
uuuu 	叔叔	c=7 d=1.00434 t=11895
uuv 	书	c=8 d=1.00037 t=12653
uuvi 	数值	c=2 d=1 t=12027
uuxi 	熟悉	c=1 d=1 t=14391
uuxl 	属相	c=1 d=0.377192 t=14676
uuyu 	属于	c=6 d=1.97528 t=14676
uuz 	述	c=2 d=0.839457 t=14676
uuzu 	数组	c=1 d=1 t=8057
uv 	水	c=5 d=1 t=12796
uvfw 	水费	c=1 d=0.737123 t=14676
uvgo 	水果	c=1 d=1 t=12965
uvjn 	睡觉	c=1 d=1 t=6256
uvm 	睡眠	c=1 d=0.00181803 t=14676
uvo 	睡	c=14 d=0.516851 t=14676
uvwu 	税务	c=1 d=0.733447 t=14676
uxu 	刷	c=1 d=0.0531307 t=14676
uyuz 	顺手	c=1 d=1 t=3075
uyxu 	顺序	c=1 d=1 t=12271
uz 	受	c=2 d=0.421052 t=14676
uzb 	首	c=2 d=1 t=6840
uzci 	首次	c=1 d=0.216536 t=14676
uzji 	手机	c=3 d=0.600496 t=14676
uzlm 	收敛	c=2 d=1.05366 t=8177
uzp 	手	c=2 d=1 t=9051
uzqr 	授权	c=2 d=0.847894 t=14676
uzui 	收拾	c=3 d=1.14808 t=7904
uzvs 	手中	c=1 d=1 t=3235
uzyi 	收益	c=1 d=1 t=3150
v 	之	c=1 d=1 t=12894
v 	这	c=151 d=2.83402 t=14676
vc 	找	c=8 d=1 t=13943
vc 	招	c=1 d=1 t=14413
vcdc 	找到	c=3 d=1 t=12317
vcji 	着急	c=2 d=1.0008 t=11623
vco 	照	c=2 d=1 t=13820
vcs 	罩	c=1 d=1 t=5029
vct 	赵	c=2 d=1 t=12770
vdr 	债	c=1 d=0.697676 t=14676
vdwu 	债务	c=1 d=0.774916 t=14676
ve 	着	c=5 d=1.07172 t=12782
vebm 	这边	c=2 d=0.107415 t=14676
vef 	折	c=2 d=1 t=12470
vege 	这个	c=7 d=2.06912 t=14676
vel 	者	c=1 d=0.869358 t=14676
veli 	这里	c=2 d=0.00745102 t=14676
veme 	这么	c=2 d=0.16696 t=14676
vevh 	这张	c=1 d=0.00511796 t=14676
vevs 	这种	c=1 d=0.0682212 t=14676
vexp 	这些	c=3 d=0.852144 t=14676
veyh 	这样	c=3 d=0.25284 t=14676
vf 	真	c=11 d=1.8521 t=13987
vfbp 	甄别	c=1 d=1 t=10498
vfhc 	真好	c=1 d=1 t=8557
vfju 	针	c=1 d=1 t=8022
vfjx 	真假	c=1 d=1 t=12039
vfui 	真实	c=1 d=0.236928 t=14676
vfxb 	真心	c=1 d=1 t=7568
vg 	正	c=6 d=1.66296 t=14676
vgce 	政策	c=4 d=1.54177 t=14676
vgfu 	政府	c=1 d=1 t=14191
vggv 	正规	c=1 d=1 t=5343
vgh 	正好	c=1 d=1 t=8505
vghc 	正好	c=2 d=1.96561 t=3110
vgi 	征	c=2 d=1.09606 t=14676
vgih 	正常	c=3 d=1 t=12867
vgli 	整理	c=2 d=0.484736 t=14676
vgmk 	证明	c=2 d=1.96079 t=5402
vgtd 	正态	c=1 d=0.937067 t=14676
vgu 	整	c=2 d=1.01708 t=8059
vgui 	正式	c=1 d=1 t=6369
vgvi 	政治	c=1 d=1 t=7019
vgwu 	政务	c=1 d=0.970446 t=14676
vgy 	证	c=1 d=1 t=4233
vgz 	正在	c=1 d=0.650509 t=14676
vgzd 	正在	c=2 d=0.66365 t=14676
vhd 	涨	c=2 d=1 t=8679
vhg 	张	c=1 d=0.0593087 t=14676
vhgv 	掌柜	c=1 d=1 t=9046
vhhc 	账号	c=2 d=1.1678 t=3840
vhhu 	账户	c=1 d=1 t=14676
vhl 	章	c=2 d=1.24537 t=10828
vi 	只	c=1 d=0.373439 t=14676
vibn 	指标	c=1 d=1 t=14295
vic 	芝	c=2 d=0.917635 t=14676
vidc 	指导	c=1 d=1 t=11684
vidc 	知道	c=2 d=1.19264 t=14676
vide 	值得	c=2 d=1.12682 t=10568
vidk 	制定	c=1 d=0.767206 t=14676
vidn 	之	c=2 d=1 t=11235
vie 	职	c=1 d=0.400517 t=14676
vif 	指	c=2 d=0.722527 t=14676
vifu 	支付	c=2 d=1.21658 t=14676
vihz 	之后	c=2 d=0.651512 t=14676
viii 	支持	c=1 d=1 t=13225
viiu 	指出	c=1 d=0.351692 t=14676
vijm 	之间	c=2 d=0.895834 t=14676
vijp 	直接	c=9 d=0.20662 t=14676
vill 	质量	c=4 d=0.865022 t=14676
vilw 	之类	c=1 d=0.00276698 t=14676
vin 	只能	c=1 d=1 t=11674
vipn 	支票	c=1 d=1 t=14676
vipr 	质	c=1 d=1 t=13064
viqm 	之前	c=8 d=1.01432 t=14676
vir 	值	c=4 d=0.915781 t=14676
visq 	置	c=1 d=1 t=11405
viu 	知	c=2 d=0.453845 t=14676
viuc 	至少	c=1 d=1 t=5149
viui 	知识	c=2 d=1 t=8680
viuq 	直	c=3 d=1.35825 t=10287
viuy 	支	c=9 d=4.57145 t=14676
vivf 	指针	c=1 d=1 t=8027
viwd 	之外	c=1 d=0.219808 t=14676
viwu 	植物	c=2 d=1.1437 t=8983
vixk 	执行	c=2 d=1.37705 t=14676
viyc 	只要	c=5 d=0.707894 t=14676
viys 	只用	c=1 d=0.416862 t=14676
viyu 	至于	c=7 d=1 t=12442
viyz 	只有	c=3 d=0.856415 t=14676
vjbi 	占比	c=1 d=0.00571306 t=14676
vjkd 	展开	c=1 d=1 t=2645
vjl 	站	c=1 d=1 t=10290
vjlt 	战略	c=1 d=1 t=11091
vjtp 	粘贴	c=1 d=0.32628 t=14676
vjui 	展示	c=1 d=0.65377 t=14676
vl 	装	c=1 d=0.00145901 t=14676
vltd 	状态	c=3 d=2.05093 t=14676
vo 	桌	c=3 d=1.00014 t=5547
vr 	转	c=1 d=1 t=11381
vrfa 	转发	c=1 d=1 t=7504
vrvr 	转转	c=1 d=1 t=9860
vrye 	专业	c=2 d=1.06361 t=5333
vs 	中	c=18 d=3.29406 t=14676
vsd 	终点	c=1 d=1 t=6622
vsda 	重大	c=1 d=0.537944 t=14676
vsdm 	重点	c=1 d=1 t=5716
vsgo 	中国	c=1 d=1 t=11208
vsh 	种	c=7 d=0.722527 t=14676
vsj 	钟	c=1 d=1 t=3623
vsuf 	终身	c=1 d=1 t=3151
vsw 	衷	c=1 d=1 t=8773
vswu 	中午	c=6 d=1.04842 t=14671
vsx 	中心	c=1 d=0.621885 t=14676
vsyc 	重要	c=5 d=0.294245 t=14676
vszi 	种子	c=1 d=1 t=12010
vu 	主	c=4 d=0.831104 t=14676
vubu 	逐步	c=1 d=0.843665 t=14676
vuce 	注册	c=3 d=1.75628 t=14676
vud 	注	c=1 d=0.704688 t=14676
vuds 	主动	c=2 d=1.00026 t=12244
vuql 	助	c=2 d=0.946485 t=14676
vur 	住	c=2 d=1 t=5713
vuti 	主体	c=1 d=0.634448 t=14676
vuti 	主题	c=1 d=1 t=7328
vuvd 	住宅	c=1 d=1 t=14676
vuyc 	主要	c=5 d=0.00481991 t=14676
vuyi 	注意	c=5 d=0.446509 t=14676
vuz 	逐	c=6 d=5.85237 t=14676
vx 	抓	c=1 d=1 t=5711
vy 	这样	c=2 d=1.04482 t=8769
vybw 	准备	c=8 d=1.0073 t=14543
vyqt 	准确	c=1 d=1 t=13973
vyze 	准则	c=1 d=1 t=12982
vz 	周	c=8 d=0.463013 t=14676
vzbm 	周边	c=1 d=1 t=9855
vzlq 	周六	c=5 d=1.00407 t=9840
vzm 	骤	c=1 d=0.955997 t=14676
vzmo 	周末	c=17 d=1.00005 t=11954
vzwu 	周五	c=2 d=1.81465 t=8612
vzww 	周围	c=1 d=1 t=8623
w 	我	c=220 d=2.79625 t=14676
wa 	挖	c=1 d=1 t=4372
wak 	哇	c=11 d=1.11982 t=14627
wazi 	袜子	c=1 d=1 t=3987
wd 	外	c=2 d=1.00583 t=14159
wdhc 	外号	c=1 d=1 t=5596
wdmd 	外卖	c=2 d=1.956 t=12376
wdtc 	外套	c=1 d=1 t=9794
wf 	问	c=5 d=1 t=12599
wfbf 	文本	c=1 d=0.985112 t=14676
wfdh 	文档	c=1 d=0.579842 t=14676
wfdk 	稳定	c=3 d=1.00001 t=13725
wfjm 	文件	c=15 d=2.98484 t=14676
wfti 	问题	c=28 d=1.82575 t=14676
wfvh 	文章	c=1 d=1 t=2655
wfwf 	问问	c=1 d=1 t=10611
wfxm 	文献	c=1 d=1 t=5569
wh 	王	c=2 d=1 t=14325
whi 	往	c=1 d=1 t=10772
whuh 	网上	c=1 d=1 t=12037
wj 	完	c=10 d=0.425283 t=14676
wj 	玩	c=5 d=1 t=9146
wja 	万	c=4 d=2.44335 t=3626
wjan 	晚安	c=31 d=1.9947 t=14597
wjfj 	晚饭	c=2 d=1 t=12582
wjhv 	晚会	c=1 d=1 t=6836
wjig 	完成	c=3 d=1.37943 t=14676
wjmw 	完美	c=1 d=1 t=9352
wjo 	晚	c=3 d=0.755784 t=14676
wjq 	完全	c=1 d=0.631284 t=14676
wjuh 	晚上	c=20 d=1.03281 t=14414
wjvg 	完整	c=1 d=1 t=4968
wjw 	玩	c=1 d=1 t=5686
wjwj 	玩玩	c=1 d=1 t=4193
wm 	我们	c=1 d=1 t=13240
wo 	握	c=2 d=1.99501 t=3021
womf 	我们	c=6 d=0.99005 t=14676
wu 	无	c=4 d=2.46578 t=14676
wua 	五	c=2 d=0.00585769 t=14676
wujx 	物价	c=4 d=2.71286 t=5226
wuk 	吴	c=4 d=1.54954 t=14676
wuzi 	物资	c=1 d=1 t=5160
ww 	为	c=10 d=1.80869 t=14676
wwa 	未	c=1 d=0.00559994 t=14676
wwbw 	违背	c=1 d=1 t=12677
wwdc 	味道	c=1 d=1 t=9834
wwh 	委	c=2 d=0.565855 t=14676
wwi 	微	c=2 d=1 t=10347
wwkn 	喂	c=1 d=1 t=10071
wwkz 	胃口	c=1 d=1 t=9544
wwrl 	位	c=2 d=0.64575 t=14676
wws 	维	c=4 d=1.47172 t=14676
wwua 	为啥	c=10 d=0.995752 t=14676
wwug 	卫生	c=2 d=0.782705 t=14676
wwvi 	位置	c=1 d=1 t=8065
wwyi 	唯一	c=1 d=0.287941 t=14676
wwyt 	违约	c=4 d=3.59291 t=14676
x 	小	c=23 d=0.640236 t=14676
xb 	心	c=4 d=0.634448 t=14676
xb 	新	c=16 d=4.10659 t=14676
xbcj 	薪	c=1 d=1 t=5201
xbdd 	信贷	c=2 d=0.543661 t=14676
xbde 	心得	c=1 d=1 t=8320
xbfh 	新房	c=1 d=1 t=5006
xbku 	辛苦	c=4 d=1 t=6300
xbr 	信	c=5 d=2.90913 t=14676
xbw 	新闻	c=2 d=1 t=12682
xbxi 	信息	c=15 d=5.42485 t=14676
xbyi 	心意	c=2 d=1 t=13790
xbys 	信用	c=17 d=6.84554 t=14676
xi 	系	c=4 d=1 t=11468
xia 	西	c=3 d=1.00158 t=10286
xid 	洗	c=6 d=1.00008 t=10474
xifh 	西方	c=1 d=1 t=4999
xigr 	习惯	c=2 d=1.00006 t=5933
xigx 	西瓜	c=1 d=1 t=14009
xihr 	喜欢	c=6 d=1 t=13194
xijp 	细节	c=2 d=1.05901 t=9786
xilp 	系列	c=1 d=1 t=2654
xis 	细	c=4 d=1.01032 t=10999
xits 	系统	c=2 d=1.49283 t=14676
xiu 	喜	c=1 d=1 t=11234
xiuu 	洗漱	c=2 d=1.00835 t=3735
xiv 	习	c=2 d=0.375311 t=14676
xiwh 	希望	c=3 d=1 t=5964
xiwj 	洗碗	c=1 d=1 t=3655
xizc 	洗澡	c=6 d=1.00029 t=10306
xk 	型	c=4 d=1.86141 t=12868
xk 	行	c=20 d=1.78699 t=14676
xka 	行啊	c=1 d=1 t=7132
xkff 	兴奋	c=1 d=1 t=9367
xkfu 	幸福	c=1 d=1 t=10082
xkge 	性格	c=1 d=1 t=13714
xkqi 	星期	c=1 d=3.52722e-06 t=14676
xkqu 	兴趣	c=1 d=0.00186406 t=14676
xkui 	形式	c=1 d=1 t=6492
xkww 	行为	c=2 d=0.432705 t=14676
xkx 	性	c=6 d=2.76826 t=14676
xl 	想	c=44 d=0.670051 t=14676
xldc 	想到	c=1 d=1 t=3041
xldh 	相当	c=3 d=0.52863 t=14676
xldv 	相对	c=1 d=1 t=10823
xlfa 	想法	c=1 d=1 t=9280
xlg 	项	c=1 d=0.650509 t=14676
xlgh 	香港	c=1 d=0.00670434 t=14676
xlgr 	相关	c=1 d=0.472367 t=14676
xlhz 	向后	c=1 d=0.310367 t=14676
xlmu 	项目	c=1 d=1 t=5269
xlp 	向	c=2 d=0.735895 t=14676
xlr 	像	c=3 d=1.00008 t=8118
xlxb 	相信	c=2 d=1.00008 t=7006
xm 	先	c=30 d=1.04292 t=14676
xme 	限	c=1 d=0.744532 t=14676
xmea 	险	c=1 d=0.904837 t=14676
xmhv 	贤惠	c=1 d=1 t=7452
xmhx 	鲜花	c=2 d=0.0122601 t=14676
xmig 	现成	c=1 d=1 t=13088
xmiz 	献丑	c=1 d=1 t=5330
xmo 	显	c=1 d=1 t=6367
xmqi 	嫌弃	c=1 d=1 t=7484
xms 	线	c=8 d=2.75455 t=14676
xmui 	显示	c=2 d=1.01444 t=14676
xmw 	现	c=1 d=0.70822 t=14676
xmwk 	咸	c=1 d=1 t=13291
xmyz 	现有	c=1 d=1 t=9851
xmzd 	现在	c=14 d=0.334361 t=14676
xn 	笑	c=1 d=1 t=9256
xnd 	消	c=3 d=0.729789 t=14676
xnfw 	消费	c=1 d=0.786628 t=14676
xnhd 	小孩	c=1 d=1 t=13382
xnjb 	消金	c=6 d=0.744532 t=14676
xnmi 	小米	c=1 d=0.45612 t=14676
xnsi 	笑死	c=2 d=1 t=12839
xnug 	笑声	c=1 d=1 t=2823
xnuo 	小说	c=1 d=1 t=11667
xnxb 	小心	c=1 d=1 t=4391
xnxi 	消息	c=4 d=1.00004 t=14275
xnyk 	效应	c=4 d=1.00364 t=12763
xp 	些	c=12 d=1.01462 t=14328
xpb 	写	c=24 d=0.574072 t=14676
xpg 	鞋	c=1 d=1 t=10383
xpig 	写成	c=2 d=1.95123 t=2687
xpxp 	谢谢	c=16 d=1.60886 t=14196
xpy 	谢	c=1 d=1 t=12755
xqgd 	修改	c=9 d=1.71976 t=14676
xqmm 	休眠	c=19 d=5.81717 t=14676
xqx 	休息	c=5 d=1.04954 t=7806
xqxi 	休息	c=16 d=1.00267 t=12130
xrir 	宣传	c=3 d=1.76824 t=7055
xrz 	选择	c=2 d=0.545831 t=14676
xrze 	选择	c=3 d=0.891366 t=14676
xt 	学	c=3 d=1 t=10571
xtu 	学生	c=1 d=1 t=11685
xtxi 	学习	c=7 d=0.0769192 t=14676
xty 	雪	c=1 d=1 t=5434
xtya 	血压	c=1 d=1 t=5942
xtyr 	学院	c=1 d=1 t=5384
xui 	徐	c=1 d=1 t=2657
xup 	须	c=1 d=0.132655 t=14676
xuyc 	需要	c=14 d=1.83402 t=14676
xx 	下	c=65 d=1.7513 t=14676
xxci 	下次	c=1 d=1 t=11120
xxie 	下车	c=1 d=1 t=2662
xxjl 	下降	c=1 d=1 t=13931
xxmf 	厦门	c=1 d=1 t=5380
xxmm 	下面	c=2 d=0.0620385 t=14676
xxqu 	下去	c=4 d=1.00011 t=14216
xxrf 	吓人	c=1 d=1 t=5915
xxtm 	夏天	c=3 d=1 t=11106
xxvz 	下周	c=11 d=1.03566 t=13553
xxwu 	下午	c=7 d=0.064894 t=14676
xxzd 	下载	c=8 d=0.245367 t=14676
xyhr 	循环	c=2 d=1.89382 t=14676
y 	一	c=48 d=2.76654 t=14676
yak 	呀	c=113 d=1.82873 t=14589
yal 	压力	c=1 d=1 t=5916
yama 	亚麻	c=1 d=1 t=5391
yan 	娅	c=1 d=1 t=6844
yas 	压缩	c=1 d=1 t=5384
ybch 	隐藏	c=2 d=0.0151812 t=14676
ybg 	引	c=1 d=0.447088 t=14676
ybhh 	银行	c=2 d=1.54367 t=14676
ybw 	因为	c=1 d=0.0536647 t=14676
ybww 	因为	c=2 d=1.27665 t=9603
ybxl 	印象	c=1 d=1 t=12257
yc 	要	c=48 d=1.04721 t=14676
ycme 	要么	c=2 d=1.10878 t=14676
ycqq 	要求	c=1 d=0.574072 t=14676
ye 	也	c=48 d=0.790571 t=14676
yea 	页	c=1 d=1 t=12280
yehv 	也会	c=1 d=1 t=5785
yek 	叶	c=1 d=1 t=4315
yeui 	也是	c=3 d=0.0655462 t=14676
yewu 	业务	c=5 d=2.07313 t=14676
yexl 	也想	c=1 d=1 t=14629
yeyc 	也要	c=1 d=0.839457 t=14676
yeyz 	也有	c=3 d=1.07435 t=7849
yh 	样	c=10 d=0.599373 t=14676
yhbf 	样本	c=9 d=3.06106 t=14676
yhd 	洋	c=1 d=0.244143 t=14676
yhhh 	央行	c=1 d=0.980199 t=14676
yhig 	养成	c=1 d=1 t=3993
yi 	以	c=6 d=0.8829 t=14676
yibi 	一笔	c=1 d=0.57695 t=14676
yibj 	一般	c=4 d=0.601421 t=14676
yic 	艺	c=2 d=1 t=13930
yidk 	一定	c=3 d=1 t=13353
yifu 	衣服	c=1 d=1 t=4830
yig 	一个	c=1 d=0.321422 t=14676
yige 	一个	c=7 d=1.99854 t=14676
yigs 	一共	c=1 d=0.386741 t=14676
yihv 	一回	c=1 d=1 t=6174
yihz 	以后	c=7 d=0.360595 t=14676
yiji 	以及	c=1 d=0.822835 t=14676
yijk 	已经	c=14 d=0.984363 t=14676
yijm 	意见	c=1 d=1 t=3536
yijq 	依旧	c=1 d=1 t=9207
yikr 	颐	c=2 d=1.03782 t=4194
yiln 	医疗	c=1 d=1 t=5181
yilx 	意	c=2 d=1.11136 t=6087
yimn 	疫苗	c=1 d=1 t=5220
yinw 	以内	c=1 d=1 t=11917
yiqi 	一起	c=15 d=1.9821 t=13593
yiqk 	疫情	c=6 d=1.10952 t=14170
yiqm 	以前	c=1 d=1 t=5477
